spiceat|spiced
filat|span
filat|spun
expectorat|spat
expectorat|spit
afrontat|spited
barbotat|splashed
splittrat|splintered
fisset|split
spulat|spooled
detectet|spotted
declamat|spouted
luxat|sprained
asperset|sprayed
fonteat|sprang
burgeonat|sprouted
spornat|spurred
spruzzat|spurted
balbutiat|sputtered
observat|spied
disputat|squabbled
stridet|squalled
adjustat|squared
hoccat|squatted
strabat|squinted
punialat|stabbed
installat|stabled
amassat|stacked
inscenat|staged
maculat|stained
hasardat|staked
persequet|stalked
afrancat|stamped
haltat|stood
amidonat|starched
activat|started
assertet|stated
postat|stationed
apoyat|stayed
securat|steadied
vaporeat|steamed
adurat|steeled
macerat|steeped
directet|steered
haltat|stemmed
stencilat|stencilled
passuat|stepped
stereotipat|stereotyped
compotat|stewed
adheret|stuck
calmat|stilled
fetet|stank
limitat|stinted
puntillat|stippled
agitat|stirred
suet|stitched
furnit|stocked
munit|stoked
digestet|stomached
degranat|stoned
cessat|stopped
acumulat|stored
assaltat|stormed
cargat|stowed
cribellat|strained
strandat|stranded
strangulat|strangled
deviat|strayed
striat|streaked
accentuat|stressed
exagerat|stretched
abassat|struck
abassat|struck
incordat|strung
denudat|stripped
caressat|stroked
vagat|strolled
combattet|struggled
afectat|strutted
studiat|studied
stuffat|stuffed
cadettat|stumbled
balbutiat|stuttered
titulat|styled
amansat|subdued
subjectet|subjected
sublimat|sublimated
submisset|submitted
subordinat|subordinated
remplazzat|substituted
prosperat|succeeded
sucurset|succoured
sucrat|sugared
convenet|suited
addit|summed
supleet|supplemented
furnit|supplied
alimentat|supported
undeat|surged
conjectet|surmised
surprisat|surprised
capitulat|surrendered
explorat|surveyed
suspectet|suspected
nettat|swabbed
fanfaronat|swaggered
glotit|swallowed
formicat|swarmed
chancelat|swayed
sudat|sweat
sudat|sweated
trincachat|swilled
flottat|swam
virlat|swirled
comutat|switched
evanescet|swooned
sursaltat|swooped
injectet|syringed
clovettat|tacked
agresset|tackled
coruptet|tainted
captet|took
conversat|talked
amansat|tamed
battet|tanned
forat|tapped
gudronat|tarred
sejornat|tarried
gustat|tasted
tatuat|tattooed
mocat|taunted
accusat|taxed
curret|tore
cardat|teased
telegrafat|telegraphed
telefonat|telephoned
telescopat|telescoped
moderat|tempered
tentat|tempted
dat|tendered
nominat|termed
provat|tested
ligat|tethered
mersiat|thanked
inpalliat|thatched
degelat|thawed
infilat|threaded
excitat|thrilled
palpitat|throbbed
formicat|thronged
strangulat|throttled
jettat|threw
pussat|thrust
trafoliat|thumbed
battet|thumped
tonnerat|thundered
tic-tacat|ticked
nettat|tidied
juntet|tied
carrelat|tiled
cultivat|tilled
basculat|tilted
colorat|tinged
bosillat|tinkered
basculat|tipped
fatigat|tired
titulat|titled
slittat|tobogganed
penat|toiled
clocheat|tolled
harmonisat|toned
tormentat|tormented
torturat|tortured
atinget|touched
remorcat|towed
alteat|towered
delineat|traced
comerciat|traded
traficat|trafficked
apuntat|trained
catenat|trammelled
migrat|tramped
transfertet|transferred
transplantat|transplanted
ravisset|transported
trappat|trapped
Past tense error|travelled
passuat|trod
triplicat|trebled
trepanat|trepanned
infractet|trespassed
deceptet|tricked
trillat|trilled
equilibrat|trimmed
trottillat|tripped
triplicat|tripled
triumfat|triumphed
marchat|trooped
trottat|trotted
genat|troubled
trumpetat|trumpeted
esperat|trusted
genat|tried
remorcat|tugged
acrobatat|tumbled
acordat|tuned
-ijat|turned
luctat|tussled
pluccat|twanged
plectet|twined
oculettat|twinkled
girat|twirled
serpenteat|twisted
machinscrit|typed
anoblat|uplifted
presset|urged
usat|used
enunciat|uttered
apreciat|valued
laccat|varnished
saltat|vaulted
velat|veiled
surlaminat|veneered
eversat|vented
audaciat|ventured
etablisset|vested
victualat|victualled
egardet|viewed
visitat|visited
voceat|voiced
vomit|vomited
votat|voted
voet|vowed
viageat|voyaged
stuffat|wadded
caudeat|wagged
guerreat|waged
hasardat|wagered
lamentat|wailed
atendet|waited
marchat|walked
inmurat|walled
tapetat|wallpapered
valsat|waltzed
besonat|wanted
guerreat|warred
gardat|warded
autorisat|warranted
rinsat|washed
dissipat|wasted
observat|watched
aquat|watered
flirtat|waved
cirat|waxed
durat|wore
enoyat|wearied
pervivet|weathered
textet|wove
cuneat|wedged
sarclat|weeded
aclamat|welcomed
efluet|welled
humidat|wet
humidat|wetted
battet|whacked
pussat|wheeled
Past tense error|wheezed
passat|whiled
bastonat|whipped
girat|whirled
sifflat|whirred
quirlat|whisked
chuchotat|whispered
sifflat|whistled
calceat|whitewashed
legat|willed
ganiat|won
serpenteat|winded
serpenteat|wound
vulnerat|winged
ocul-signat|winked
telegrafat|wired
desirat|wished
atestat|witnessed
actionat|worked
tormentat|worried
adorat|worshipped
superat|worsted
ledet|wounded
querellat|wrangled
vrecat|wrecked
tordet|wrenched
frunsat|wrinkled
detrimentat|wronged
claffat|yapped
hiat|yawned
yellat|yelled
capitulat|yielded
zigzagat|zigzagged
